DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1994-11-06,0:00,BROOKLYN,11249,40.701317,-73.96269,"(40.701317, -73.96269)",,,14        HOOPER STREET                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111869,Station Wagon/Sport Utility Vehicle,,,,
1994-12-16,0:00,MANHATTAN,10065,40.763733,-73.962074,"(40.763733, -73.962074)",2 AVENUE                        ,EAST 64 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111464,Taxi,Taxi,,,
1994-12-30,0:00,QUEENS,11385,40.700474,-73.88344,"(40.700474, -73.88344)",68 STREET                       ,COOPER AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4111511,Bus,Sedan,,,
2019-04-08,0:00,,,40.806477,-73.908455,"(40.806477, -73.908455)",BRUCKNER BOULEVARD              ,SOUTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111082,Sedan,Box Truck,,,
2019-04-08,0:00,,,,,,HUTCHINSON RIVER PARKWAY RAMP   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111041,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,0:00,BRONX,10463,40.87262,-73.904686,"(40.87262, -73.904686)",HEATH AVENUE                    ,WEST KINGSBRIDGE ROAD,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,4111941,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,0:15,QUEENS,11363,40.7722,-73.74176,"(40.7722, -73.74176)",249 STREET                      ,41 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4110582,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,0:20,MANHATTAN,10035,40.798275,-73.92968,"(40.798275, -73.92968)",,,70        PALADINO AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4110843,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,0:35,BROOKLYN,11218,40.635876,-73.975044,"(40.635876, -73.975044)",DITMAS AVENUE                   ,EAST 4 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4112832,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,0:37,QUEENS,11103,40.763504,-73.915306,"(40.763504, -73.915306)",,,30-05     STEINWAY STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111015,Dump,Sedan,,,
