mfgtxt,campno,mfgcampno,rclsubj,odate,odateend,rptno,rptqtr,involved,ttlremedied,ttlunreach,ttlremoved,submdate
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,21,2015-01-01,447000,55484,0,0,20150409
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,22,2015-02-01,447000,55502,0,0,20150708
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,23,2015-03-01,447000,55516,0,0,20151006
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,24,2015-04-01,447000,55525,0,0,20160105
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,25,2016-01-01,447000,55529,0,0,20160414
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,26,2016-02-01,447000,55535,0,0,20160716
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,27,2016-03-01,447000,55536,0,0,20161019
DOREL JUVENILE GROUP,09C010000,,HANDLE DETACHMENT,20100106,,28,2016-04-01,447000,55540,0,0,20170118
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,20,2015-01-01,22850,4172,0,0,20150409
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,21,2015-02-01,22850,4177,0,0,20150708
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,22,2015-03-01,22850,4181,0,0,20151006
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,23,2015-04-01,22850,4184,0,0,20160105
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,24,2016-01-01,22850,4184,0,0,20160414
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,25,2016-02-01,22850,4184,0,0,20160716
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,26,2016-03-01,22850,4184,0,0,20161019
DOREL JUVENILE GROUP,10C001000,,SHELL/BASE ATTACHING OR DETACHING DIFFICULTY,20100305,,27,2016-04-01,22850,4184,0,0,20170118
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,15,2015-01-01,794247,14181,0,0,20150409
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,16,2015-02-01,794247,14269,0,0,20150708
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,17,2015-03-01,794247,14299,0,0,20151006
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,18,2015-04-01,794247,14419,0,0,20160105
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,19,2016-01-01,794247,14446,0,0,20160414
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,20,2016-02-01,794247,14472,0,0,20160716
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,21,2016-03-01,794247,14500,0,0,20161019
DOREL JUVENILE GROUP,11C001000,,CENTER FRONT HARNESS ADJUSTER FAILURE,20110222,,22,2016-04-01,794247,14522,0,0,20170118
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,7,2015-01-01,89527,1374,0,0,20150409
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,8,2015-02-01,89527,1394,0,0,20150708
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,9,2015-03-01,89527,1411,0,0,20151006
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,10,2015-04-01,89527,1433,0,0,20160105
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,11,2016-01-01,89527,1445,0,0,20160414
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,12,2016-02-01,89527,1461,0,0,20160716
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,13,2016-03-01,89527,1467,0,0,20161019
DOREL JUVENILE GROUP,11C002000,,Label/Incorrect Installation Diagram,20130926,,14,2016-04-01,89527,1486,0,0,20170118
"KTM NORTH AMERICA, INC",11V300000,,HANDLEBAR CLAMPS,20110525,,16,2015-01-01,1228,723,0,0,20150506
"KTM NORTH AMERICA, INC",11V300000,,HANDLEBAR CLAMPS,20110525,,17,2015-02-01,1228,734,0,0,20150820
GLAVAL BUS DIVISION,11V402000,,FIRE SUPPRESSION DISCHARGE NOZZLES                ,20110830,,15,2015-01-01,39,13,0,0,20150401
GLAVAL BUS DIVISION,11V402000,,FIRE SUPPRESSION DISCHARGE NOZZLES                ,20110830,,16,2015-02-01,39,13,0,0,20150706
GLAVAL BUS DIVISION,11V402000,,FIRE SUPPRESSION DISCHARGE NOZZLES                ,20110830,,17,2015-03-01,39,13,26,0,20151001
GLAVAL BUS DIVISION,11V402000,,FIRE SUPPRESSION DISCHARGE NOZZLES                ,20110830,,18,2015-04-01,39,13,26,0,20160105
GLAVAL BUS DIVISION,11V402000,,FIRE SUPPRESSION DISCHARGE NOZZLES                ,20110830,,19,2016-01-01,39,13,26,0,20160414
GLAVAL BUS DIVISION,11V402000,,FIRE SUPPRESSION DISCHARGE NOZZLES                ,20110830,,20,2016-02-01,39,13,26,0,20160727
"TIFFIN MOTORHOMES, INC.",11V416000,,EXHAUST PIPE/POSSIBLE FIRE,20110919,20110919,15,2015-01-01,149,134,0,0,20150430
"TIFFIN MOTORHOMES, INC.",11V416000,,EXHAUST PIPE/POSSIBLE FIRE,20110919,20110919,16,2015-02-01,149,134,0,0,20150731
